,x,y
0,-2531.326925852827,-693.0083593254229
1,-4318.481186123952,-635.9914722782181
2,-3820.8210237766925,-2227.588374284469
3,5173.864728047176,-6360.869771327973
4,3958.3907382163757,963.4703962571887
5,-484.0734563782763,1479.9456050601618
6,2501.167886494647,1560.1668958741375
7,-2254.672549826718,-2823.1855615206205
8,-3931.4847043026048,-7804.015536617871
9,12220.75161790132,2333.6790017977028
10,914.1940904406006,-219.77126278789822
11,-484.17980883593526,-4182.916323904716
12,2221.6452122341093,3098.074459751265
13,-945.476226692122,-2602.1033685189764
14,4330.649127767779,-1420.424909553479
15,-165.34384561354648,1076.5330561343624
16,1351.312867847049,-6480.360990451641
17,264.39995270308174,3176.3771358671947
18,-1270.3914548039359,2554.487352716133
19,-3642.324995837553,1672.0208109704054
20,896.6861409713164,4242.010286312373
21,-587.892021142211,3572.1795667387023
22,-2010.9727385766826,3384.4219547580115
23,-2643.075010187044,2304.1747401016014
24,-4742.546414673349,4032.694668232049
